Частота (Гц), Амплитуда (дБ)
6.45, -54.14
6.50, -60.27
6.55, -51.22
6.60, -46.74
6.65, -57.50
6.70, -56.51
6.75, -50.66
6.80, -59.31
6.85, -56.98
6.90, -59.13
6.95, -56.20
7.00, -58.73
7.05, -50.18
7.10, -53.04
7.15, -54.16
7.20, -79.76
7.25, -52.08
7.30, -68.78
7.35, -63.00
7.40, -66.54
7.45, -62.03
7.50, -58.33
7.55, -60.95
7.60, -55.27
7.65, -52.55
7.70, -52.34
7.75, -52.77
7.80, -58.67
7.85, -54.04
7.90, -56.65
7.95, -60.14
8.00, -55.80
8.05, -55.80
8.10, -58.40
8.15, -67.12
8.20, -63.27
8.25, -54.57
8.30, -53.83
8.35, -53.23
8.40, -52.54
8.45, -54.93
8.50, -59.31
8.55, -54.29
8.60, -50.86
8.65, -58.88
8.70, -49.64
8.75, -50.10
8.80, -58.41
8.85, -48.99
8.90, -54.37
8.95, -52.37
9.00, -57.56
9.05, -55.54
9.10, -56.07
9.15, -60.31
9.20, -55.47
9.25, -69.71
9.30, -55.86
9.35, -56.19
9.40, -59.08
9.45, -54.50
9.50, -52.52
9.55, -66.08
9.60, -71.69
9.65, -54.51
9.70, -56.70
9.75, -57.57
9.80, -59.10
9.85, -54.65
9.90, -54.29
9.95, -63.59
10.00, -50.96
10.05, -59.00
10.10, -52.81
10.15, -53.10
10.20, -58.42
10.25, -53.51
10.30, -69.55
10.35, -51.45
10.40, -53.50
10.45, -51.09
10.50, -62.65
10.55, -49.74
10.60, -66.23
10.65, -57.63
10.70, -62.28
10.75, -63.73
10.80, -62.86
10.85, -58.18
10.90, -51.32
10.95, -53.20
11.00, -56.71
11.05, -55.94
11.10, -57.84
11.15, -52.89
11.20, -60.16
11.25, -60.78
11.30, -52.14
11.35, -49.96
11.40, -53.02
11.45, -58.69
11.50, -47.86
11.55, -49.83
11.60, -54.89
11.65, -56.24
11.70, -58.54
11.75, -55.04
11.80, -60.72
11.85, -52.83
11.90, -59.18
11.95, -55.31
12.00, -60.65
12.05, -64.86
12.10, -58.08
12.15, -55.74
12.20, -59.87
12.25, -68.86
12.30, -52.25
12.35, -63.51
12.40, -58.48
12.45, -58.97
12.50, -56.97
12.55, -62.54
12.60, -58.61
12.65, -55.88
12.70, -55.03
12.75, -51.12
12.80, -59.38
12.85, -62.40
12.90, -53.46
12.95, -56.99
13.00, -56.48
13.05, -67.03
13.10, -59.16
13.15, -51.32
13.20, -53.05
13.25, -48.31
13.30, -55.54
13.35, -57.56
13.40, -64.99
13.45, -59.61
13.50, -55.27
13.55, -51.00
13.60, -55.04
13.65, -60.83
13.70, -52.61
13.75, -51.13
13.80, -55.36
13.85, -54.41
13.90, -60.91
13.95, -52.67
14.00, -55.34
14.05, -57.42
14.10, -66.38
14.15, -62.61
14.20, -67.66
14.25, -56.20
14.30, -60.60
14.35, -52.51
14.40, -56.12
14.45, -56.38
14.50, -48.50
14.55, -55.22
14.60, -70.07
14.65, -56.80
14.70, -49.32
14.75, -47.62
14.80, -50.63
14.85, -52.73
14.90, -52.23
14.95, -60.83
15.00, -63.63
15.05, -51.38
15.10, -53.96
15.15, -58.84
15.20, -54.94
15.25, -52.34
15.30, -58.39
15.35, -52.25
15.40, -57.34
15.45, -57.13
15.50, -64.18
15.55, -63.56
15.60, -52.38
15.65, -51.68
15.70, -55.66
15.75, -53.99
15.80, -51.21
15.85, -52.03
15.90, -61.90
15.95, -64.87
16.00, -65.86
16.05, -59.59
16.10, -56.36
16.15, -54.23
16.20, -73.21
16.25, -58.09
16.30, -54.05
16.35, -73.73
16.40, -48.25
16.45, -52.35
16.50, -51.30
16.55, -57.35
16.60, -49.23
16.65, -58.86
16.70, -60.02
16.75, -61.06
16.80, -53.58
16.85, -51.32
16.90, -56.22
16.95, -62.22
17.00, -64.72
17.05, -72.49
17.10, -53.86
17.15, -52.96
17.20, -64.91
17.25, -59.16
17.30, -54.10
17.35, -53.59
17.40, -54.86
17.45, -55.90
17.50, -63.58
17.55, -55.41
17.60, -53.81
17.65, -61.51
17.70, -68.49
17.75, -51.03
17.80, -64.94
17.85, -55.75
17.90, -56.17
17.95, -56.50
18.00, -56.35
18.05, -52.02
18.10, -56.94
18.15, -52.86
18.20, -60.50
18.25, -51.58
18.30, -63.90
18.35, -57.20
18.40, -60.94
18.45, -55.08
18.50, -53.40
18.55, -55.30
18.60, -50.79
18.65, -57.99
18.70, -65.38
18.75, -59.35
18.80, -58.41
18.85, -55.23
18.90, -53.44
18.95, -60.44
19.00, -54.19
19.05, -52.04
19.10, -57.33
19.15, -57.85
19.20, -56.52
19.25, -52.18
19.30, -58.03
19.35, -54.26
19.40, -61.54
19.45, -57.82
19.50, -50.21
19.55, -52.98
19.60, -49.45
19.65, -70.15
19.70, -47.51
19.75, -53.59
19.80, -59.66
19.85, -63.20
19.90, -59.28
19.95, -49.81
20.00, -56.01
20.05, -61.41
20.10, -49.95
20.15, -54.61
20.20, -56.33
20.25, -53.62
20.30, -61.11
20.35, -65.65
20.40, -52.27
20.45, -54.87
20.50, -59.69
20.55, -53.11
20.60, -75.53
20.65, -52.66
20.70, -54.97
20.75, -54.55
20.80, -58.84
20.85, -58.86
20.90, -48.03
20.95, -64.05
21.00, -63.47
21.05, -59.63
21.10, -63.31
21.15, -56.80
21.20, -50.49
21.25, -57.28
21.30, -64.16
21.35, -72.09
21.40, -52.35
21.45, -51.23
21.50, -53.80
21.55, -73.02
21.60, -57.72
21.65, -61.56
21.70, -54.59
21.75, -56.75
21.80, -50.95
21.85, -58.09
21.90, -67.62
21.95, -53.41
22.00, -66.01
22.05, -53.96
22.10, -56.83
22.15, -68.88
22.20, -66.78
22.25, -52.51
22.30, -66.69
22.35, -57.36
22.40, -60.56
22.45, -53.58
22.50, -52.60
22.55, -53.46
22.60, -61.30
22.65, -57.80
22.70, -58.50
22.75, -52.75
22.80, -52.82
22.85, -55.55
22.90, -51.63
22.95, -49.57
23.00, -59.08
23.05, -56.71
23.10, -57.83
23.15, -62.41
23.20, -49.45
23.25, -64.04
23.30, -55.29
23.35, -64.15
23.40, -51.38
23.45, -52.69
23.50, -60.00
23.55, -57.41
23.60, -55.60
23.65, -52.62
23.70, -67.65
23.75, -53.58
23.80, -61.37
23.85, -54.36
23.90, -66.43
23.95, -52.15
24.00, -59.83
24.05, -50.74
24.10, -58.02
24.15, -61.57
24.20, -63.67
24.25, -53.58
24.30, -60.17
24.35, -59.70
24.40, -57.93
24.45, -52.71
24.50, -55.04
24.55, -59.01
24.60, -73.77
24.65, -49.13
24.70, -56.08
24.75, -56.34
24.80, -53.75
24.85, -59.04
24.90, -78.70
24.95, -57.92
25.00, -51.73
25.05, -57.76
25.10, -54.17
25.15, -65.38
25.20, -50.43
25.25, -61.81
25.30, -58.79
25.35, -54.21
25.40, -55.26
25.45, -54.35
25.50, -54.61
25.55, -56.43
25.60, -53.60
25.65, -54.31
25.70, -52.50
25.75, -70.83
25.80, -56.07
25.85, -54.78
25.90, -55.18
25.95, -56.58
26.00, -52.34
26.05, -58.06
26.10, -82.87
26.15, -55.08
26.20, -59.28
26.25, -67.30
26.30, -54.74
26.35, -53.90
26.40, -60.67
26.45, -56.32
26.50, -72.28
26.55, -60.78
26.60, -51.71
26.65, -52.79
26.70, -58.99
26.75, -64.13
26.80, -49.53
26.85, -56.08
26.90, -53.26
26.95, -61.64
27.00, -60.39
27.05, -56.88
27.10, -60.79
27.15, -56.53
27.20, -58.66
27.25, -61.33
27.30, -55.53
27.35, -52.88
27.40, -60.18
27.45, -56.57
27.50, -60.38
27.55, -60.02
27.60, -51.78
27.65, -68.98
27.70, -56.05
27.75, -56.87
27.80, -70.09
27.85, -54.85
27.90, -68.46
27.95, -58.09
28.00, -56.20
28.05, -52.98
28.10, -59.34
28.15, -51.85
28.20, -54.61
28.25, -60.98
28.30, -59.10
28.35, -60.70
28.40, -58.03
28.45, -52.45
28.50, -57.19
28.55, -49.86
28.60, -53.65
28.65, -61.71
28.70, -52.91
28.75, -68.88
28.80, -66.55
28.85, -54.30
28.90, -54.54
28.95, -74.84
29.00, -57.02
29.05, -54.82
29.10, -55.70
29.15, -54.27
29.20, -55.71
29.25, -77.49
29.30, -57.28
29.35, -91.38
29.40, -48.91
29.45, -56.22
29.50, -61.72
29.55, -52.38
29.60, -51.62
29.65, -60.69
29.70, -52.75
29.75, -51.94
29.80, -53.75
29.85, -62.59
29.90, -50.43
29.95, -53.34
30.00, -56.67
30.05, -49.14
30.10, -69.30
30.15, -50.11
30.20, -56.46
30.25, -55.59
30.30, -53.52
30.35, -59.98
30.40, -54.33
30.45, -55.93
30.50, -55.40
30.55, -60.45
30.60, -50.85
30.65, -58.90
30.70, -69.79
30.75, -51.85
30.80, -56.30
30.85, -56.26
30.90, -56.75
30.95, -52.87
31.00, -54.87
31.05, -56.95
31.10, -52.91
31.15, -54.36
31.20, -54.16
31.25, -57.77
31.30, -63.00
31.35, -69.44
31.40, -51.69
31.45, -50.75
31.50, -57.02
31.55, -54.43
31.60, -63.95
31.65, -54.85
31.70, -52.23
31.75, -60.28
31.80, -53.44
31.85, -60.12
31.90, -49.83
31.95, -50.76
32.00, -56.46
32.05, -59.62
32.10, -53.81
32.15, -57.38
32.20, -71.91
32.25, -63.79
32.30, -63.29
32.35, -55.73
32.40, -58.14
32.45, -57.90
32.50, -61.73
32.55, -58.04
32.60, -57.31
32.65, -53.25
32.70, -55.04
32.75, -54.25
32.80, -64.59
32.85, -66.31
32.90, -63.58
32.95, -60.36
33.00, -54.05
33.05, -65.63
33.10, -51.76
33.15, -51.44
33.20, -63.03
33.25, -54.04
33.30, -59.69
33.35, -51.22
33.40, -56.86
33.45, -51.23
33.50, -62.35
33.55, -56.25
33.60, -62.96
33.65, -51.04
33.70, -53.87
33.75, -52.80
33.80, -47.26
33.85, -56.03
33.90, -64.61
33.95, -50.20
34.00, -59.29
34.05, -56.63
34.10, -57.44
34.15, -54.55
34.20, -64.42
34.25, -58.99
34.30, -73.86
34.35, -66.92
34.40, -70.08
34.45, -62.32
34.50, -54.06
34.55, -55.97
34.60, -56.19
34.65, -56.42
34.70, -56.94
34.75, -58.41
34.80, -53.23
34.85, -57.75
34.90, -59.17
34.95, -62.95
35.00, -64.01
35.05, -58.01
35.10, -60.99
35.15, -54.53
35.20, -54.37
35.25, -68.07
35.30, -72.90
35.35, -53.75
35.40, -53.44
35.45, -59.57
35.50, -65.18
35.55, -63.30
35.60, -68.12
35.65, -50.07
35.70, -57.71
35.75, -52.76
35.80, -51.48
35.85, -58.75
35.90, -59.17
35.95, -52.22
36.00, -60.02
36.05, -63.57
36.10, -59.81
36.15, -52.52
36.20, -57.01
36.25, -59.20
36.30, -63.79
36.35, -56.16
36.40, -61.58
36.45, -63.62
36.50, -61.92
36.55, -53.25
36.60, -54.49
36.65, -55.99
36.70, -55.78
36.75, -54.81
36.80, -49.39
36.85, -57.64
36.90, -51.25
36.95, -53.50
37.00, -61.55
37.05, -51.18
37.10, -59.04
37.15, -49.88
37.20, -57.43
37.25, -56.33
37.30, -48.80
37.35, -55.02
37.40, -57.34
37.45, -61.47
37.50, -56.55
37.55, -68.06
37.60, -62.02
37.65, -53.71
37.70, -55.36
37.75, -59.89
37.80, -72.90
37.85, -52.64
37.90, -52.28
37.95, -57.91
38.00, -50.41
38.05, -56.65
38.10, -95.66
38.15, -52.87
38.20, -56.83
38.25, -57.79
38.30, -61.22
38.35, -59.70
38.40, -58.59
38.45, -62.49
38.50, -52.84
38.55, -59.17
38.60, -83.05
38.65, -58.74
38.70, -62.52
38.75, -55.77
38.80, -63.46
38.85, -58.98
38.90, -61.30
38.95, -54.78
39.00, -65.56
39.05, -58.12
39.10, -63.21
39.15, -52.76
39.20, -57.15
39.25, -62.55
39.30, -57.29
39.35, -56.60
39.40, -49.27
39.45, -71.21
39.50, -54.41
39.55, -56.08
39.60, -50.84
39.65, -55.07
39.70, -66.03
39.75, -54.88
39.80, -49.32
39.85, -73.74
39.90, -45.01
39.95, -54.04
40.00, -51.83
40.05, -50.28
40.10, -44.11
40.15, -56.90
40.20, -57.08
40.25, -48.75
40.30, -44.90
40.35, -49.37
40.40, -42.80
40.45, -62.13
40.50, -40.43
40.55, -44.11
40.60, -42.80
40.65, -50.09
40.70, -50.17
40.75, -43.85
40.80, -49.18
40.85, -41.39
40.90, -45.43
40.95, -38.15
41.00, -39.96
41.05, -48.37
41.10, -43.90
41.15, -38.28
41.20, -50.80
41.25, -53.44
41.30, -46.63
41.35, -35.97
41.40, -35.70
41.45, -34.19
41.50, -38.06
41.55, -42.92
41.60, -40.16
41.65, -35.03
41.70, -45.66
41.75, -41.38
41.80, -42.12
41.85, -44.96
41.90, -33.73
41.95, -39.45
42.00, -38.11
42.05, -40.78
42.10, -31.68
42.15, -38.64
42.20, -43.20
42.25, -34.51
42.30, -32.73
42.35, -38.51
42.40, -41.45
42.45, -36.83
42.50, -39.36
42.55, -36.71
42.60, -29.35
42.65, -35.22
42.70, -33.45
42.75, -30.07
42.80, -31.03
42.85, -35.53
42.90, -34.18
42.95, -33.27
43.00, -31.33
43.05, -34.91
43.10, -36.02
43.15, -27.15
43.20, -38.32
43.25, -38.47
43.30, -32.58
43.35, -34.73
43.40, -29.14
43.45, -29.95
43.50, -28.23
43.55, -38.95
43.60, -26.25
43.65, -26.55
43.70, -37.37
43.75, -31.73
43.80, -31.76
43.85, -28.94
43.90, -28.50
43.95, -30.70
44.00, -31.90
44.05, -43.14
44.10, -36.03
44.15, -25.37
44.20, -26.81
44.25, -28.51
44.30, -24.20
44.35, -30.91
44.40, -30.73
44.45, -34.46
44.50, -41.10
44.55, -53.11
44.60, -29.82
44.65, -29.76
44.70, -38.80
44.75, -23.62
44.80, -30.38
44.85, -22.96
44.90, -34.47
44.95, -31.85
45.00, -21.26
45.05, -23.46
45.10, -40.94
45.15, -30.86
45.20, -26.39
45.25, -25.39
45.30, -33.92
45.35, -30.76
45.40, -24.88
45.45, -29.36
45.50, -26.69
45.55, -55.71
45.60, -26.04
45.65, -25.59
45.70, -25.10
45.75, -26.38
45.80, -33.37
45.85, -28.90
45.90, -21.57
45.95, -26.24
46.00, -28.65
46.05, -22.20
46.10, -26.94
46.15, -34.69
46.20, -29.07
46.25, -44.94
46.30, -36.88
46.35, -23.58
46.40, -21.77
46.45, -30.11
46.50, -26.70
46.55, -18.58
46.60, -20.48
46.65, -19.96
46.70, -44.11
46.75, -24.31
46.80, -26.92
46.85, -27.73
46.90, -30.70
46.95, -21.78
47.00, -25.16
47.05, -33.37
47.10, -26.43
47.15, -31.40
47.20, -28.05
47.25, -29.00
47.30, -36.08
47.35, -24.05
47.40, -31.05
47.45, -27.03
47.50, -41.29
47.55, -29.20
47.60, -28.05
47.65, -31.32
47.70, -24.76
47.75, -25.61
47.80, -22.87
47.85, -23.61
47.90, -22.72
47.95, -21.09
48.00, -27.49
48.05, -18.73
48.10, -23.59
48.15, -25.69
48.20, -23.20
48.25, -31.53
48.30, -20.19
48.35, -31.79
48.40, -26.52
48.45, -26.83
48.50, -26.97
48.55, -22.26
48.60, -18.34
48.65, -21.11
48.70, -17.93
48.75, -25.06
48.80, -22.54
48.85, -22.84
48.90, -29.54
48.95, -22.62
49.00, -26.08
49.05, -27.00
49.10, -36.27
49.15, -34.51
49.20, -19.95
49.25, -27.05
49.30, -26.56
49.35, -24.69
49.40, -39.96
49.45, -23.09
49.50, -27.85
49.55, -30.48
49.60, -25.26
49.65, -29.70
49.70, -20.05
49.75, -33.41
49.80, -21.22
49.85, -28.59
49.90, -25.02
49.95, -33.03
50.00, -27.31
50.05, -20.74
50.10, -30.64
50.15, -23.59
50.20, -23.36
50.25, -20.51
50.30, -21.61
50.35, -20.42
50.40, -28.53
50.45, -17.49
50.50, -27.20
50.55, -24.64
50.60, -19.89
50.65, -36.15
50.70, -21.47
50.75, -23.37
50.80, -17.62
50.85, -21.78
50.90, -24.28
50.95, -35.50
51.00, -28.32
51.05, -21.89
51.10, -23.06
51.15, -27.82
51.20, -39.47
51.25, -18.29
51.30, -20.49
51.35, -19.74
51.40, -27.70
51.45, -23.35
51.50, -26.86
51.55, -21.83
51.60, -15.71
51.65, -20.56
51.70, -18.25
51.75, -13.89
51.80, -18.11
51.85, -19.41
51.90, -23.75
51.95, -27.66
52.00, -22.30
52.05, -24.40
52.10, -18.91
52.15, -16.68
52.20, -17.20
52.25, -15.33
52.30, -28.74
52.35, -16.19
52.40, -23.83
52.45, -19.35
52.50, -21.46
52.55, -18.41
52.60, -21.02
52.65, -28.57
52.70, -17.97
52.75, -25.26
52.80, -46.57
52.85, -17.33
52.90, -22.79
52.95, -28.03
53.00, -32.52
53.05, -19.56
53.10, -21.21
53.15, -23.63
53.20, -32.63
53.25, -22.19
53.30, -22.24
53.35, -16.30
53.40, -20.81
53.45, -21.52
53.50, -23.70
53.55, -15.75
53.60, -24.24
53.65, -17.33
53.70, -19.09
53.75, -21.50
53.80, -26.70
53.85, -19.36
53.90, -19.40
53.95, -21.66
54.00, -17.54
54.05, -22.28
54.10, -15.73
54.15, -24.79
54.20, -20.38
54.25, -24.30
54.30, -31.50
54.35, -26.40
54.40, -19.06
54.45, -14.58
54.50, -27.41
54.55, -26.10
54.60, -15.57
54.65, -17.47
54.70, -20.04
54.75, -18.29
54.80, -16.56
54.85, -20.37
54.90, -22.86
54.95, -18.54
55.00, -20.36
55.05, -17.22
55.10, -38.35
55.15, -20.17
55.20, -27.36
55.25, -23.67
55.30, -15.68
55.35, -17.30
55.40, -12.17
55.45, -18.93
55.50, -38.07
55.55, -33.11
55.60, -20.71
55.65, -9.95
55.70, -18.37
55.75, -30.52
55.80, -17.63
55.85, -27.07
55.90, -18.05
55.95, -18.55
56.00, -10.79
56.05, -16.27
56.10, -30.16
56.15, -22.24
56.20, -23.02
56.25, -21.97
56.30, -21.83
56.35, -14.69
56.40, -14.47
56.45, -24.49
56.50, -20.08
56.55, -21.80
56.60, -29.48
56.65, -35.06
56.70, -15.36
56.75, -23.04
56.80, -15.54
56.85, -18.10
56.90, -20.41
56.95, -14.03
57.00, -26.47
57.05, -42.42
57.10, -20.10
57.15, -12.10
57.20, -20.04
57.25, -29.67
57.30, -20.72
57.35, -15.90
57.40, -18.85
57.45, -18.58
57.50, -17.81
57.55, -14.17
57.60, -26.81
57.65, -13.66
57.70, -21.15
57.75, -21.84
57.80, -28.95
57.85, -18.41
57.90, -30.17
57.95, -29.72
58.00, -20.78
58.05, -25.74
58.10, -30.92
58.15, -17.80
58.20, -15.28
58.25, -23.52
58.30, -29.15
58.35, -12.21
58.40, -21.16
58.45, -24.17
58.50, -34.29
58.55, -9.68
58.60, -14.68
58.65, -16.87
58.70, -12.16
58.75, -8.14
58.80, -13.53
58.85, -27.49
58.90, -14.92
58.95, -16.06
59.00, -15.64
59.05, -12.66
59.10, -17.90
59.15, -14.49
59.20, -14.42
59.25, -19.54
59.30, -10.84
59.35, -12.74
59.40, -18.54
59.45, -20.71
59.50, -21.66
59.55, -15.23
59.60, -19.11
59.65, -16.53
59.70, -21.97
59.75, -12.50
59.80, -16.77
59.85, -17.28
59.90, -17.18
59.95, -17.22
60.00, -13.70
60.05, -14.80
60.10, -8.89
60.15, -18.65
60.20, -11.85
60.25, -17.86
60.30, -12.51
60.35, -11.86
60.40, -21.84
60.45, -15.67
60.50, -18.65
60.55, -14.12
60.60, -16.87
60.65, -12.53
60.70, -12.48
60.75, -16.80
60.80, -17.55
60.85, -15.40
60.90, -11.65
60.95, -22.37
61.00, -34.05
61.05, -30.51
61.10, -15.68
61.15, -11.82
61.20, -11.84
61.25, -9.87
61.30, -20.67
61.35, -28.75
61.40, -21.66
61.45, -15.97
61.50, -15.69
61.55, -11.94
61.60, -18.33
61.65, -24.05
61.70, -19.65
61.75, -11.94
61.80, -22.26
61.85, -23.79
61.90, -17.93
61.95, -13.49
62.00, -11.98
62.05, -13.99
62.10, -19.06
62.15, -17.53
62.20, -12.98
62.25, -28.05
62.30, -16.00
62.35, -16.75
62.40, -16.47
62.45, -16.66
62.50, -13.08
62.55, -18.40
62.60, -14.41
62.65, -13.28
62.70, -10.11
62.75, -11.27
62.80, -14.63
62.85, -11.68
62.90, -18.69
62.95, -15.75
63.00, -17.44
63.05, -15.99
63.10, -9.38
63.15, -13.56
63.20, -14.48
63.25, -14.81
63.30, -19.68
63.35, -12.25
63.40, -11.38
63.45, -23.65
63.50, -16.57
63.55, -13.78
63.60, -14.75
63.65, -23.87
63.70, -9.68
63.75, -24.83
63.80, -12.39
63.85, -11.58
63.90, -29.38
63.95, -18.23
64.00, -17.56
64.05, -10.71
64.10, -12.24
64.15, -14.88
64.20, -15.78
64.25, -34.14
64.30, -14.28
64.35, -29.51
64.40, -25.83
64.45, -18.61
64.50, -19.98
64.55, -19.08
64.60, -12.22
64.65, -15.92
64.70, -19.06
64.75, -19.70
64.80, -18.27
64.85, -17.15
64.90, -19.07
64.95, -15.15
65.00, -23.22
65.05, -22.39
65.10, -19.50
65.15, -26.64
65.20, -10.74
65.25, -17.05
65.30, -13.68
65.35, -18.20
65.40, -13.60
65.45, -27.47
65.50, -17.86
65.55, -26.15
65.60, -14.78
65.65, -13.04
65.70, -12.37
65.75, -11.36
65.80, -12.93
65.85, -18.42
65.90, -14.57
65.95, -23.94
66.00, -18.27
66.05, -15.39
66.10, -10.82
66.15, -14.07
66.20, -12.53
66.25, -11.37
66.30, -15.62
66.35, -7.62
66.40, -18.72
66.45, -15.66
66.50, -12.59
66.55, -13.05
66.60, -15.62
66.65, -11.59
66.70, -20.84
66.75, -13.15
66.80, -9.06
66.85, -9.04
66.90, -11.81
66.95, -13.08
67.00, -15.84
67.05, -7.55
67.10, -18.31
67.15, -19.94
67.20, -17.48
67.25, -21.59
67.30, -29.71
67.35, -12.90
67.40, -24.53
67.45, -12.96
67.50, -9.69
67.55, -17.25
67.60, -18.19
67.65, -8.45
67.70, -7.21
67.75, -14.61
67.80, -13.09
67.85, -19.97
67.90, -13.57
67.95, -11.90
68.00, -10.67
68.05, -11.15
68.10, -17.05
68.15, -21.10
68.20, -12.46
68.25, -13.51
68.30, -23.66
68.35, -8.84
68.40, -13.17
68.45, -22.90
68.50, -12.40
68.55, -7.32
68.60, -10.11
68.65, -15.36
68.70, -14.76
68.75, -10.89
68.80, -29.66
68.85, -13.17
68.90, -14.65
68.95, -17.69
69.00, -21.07
69.05, -16.28
69.10, -14.24
69.15, -10.48
69.20, -12.78
69.25, -10.58
69.30, -19.12
69.35, -9.89
69.40, -5.99
69.45, -8.08
69.50, -15.13
69.55, -11.13
69.60, -8.61
69.65, -26.70
69.70, -10.69
69.75, -11.24
69.80, -11.01
69.85, -16.52
69.90, -18.03
69.95, -19.99
70.00, -10.38
70.05, -14.74
70.10, -6.43
70.15, -17.72
70.20, -13.56
70.25, -12.97
70.30, -8.21
70.35, -14.17
70.40, -14.56
70.45, -19.18
70.50, -10.92
70.55, -12.41
70.60, -14.24
70.65, -10.88
70.70, -10.16
70.75, -12.99
70.80, -17.05
70.85, -10.57
70.90, -11.29
70.95, -13.51
71.00, -7.70
71.05, -11.86
71.10, -11.09
71.15, -17.08
71.20, -29.77
71.25, -14.63
71.30, -20.67
71.35, -9.16
71.40, -11.59
71.45, -11.24
71.50, -16.60
71.55, -10.27
71.60, -12.88
71.65, -10.50
71.70, -16.98
71.75, -20.01
71.80, -11.98
71.85, -18.49
71.90, -6.05
71.95, -24.19
72.00, -7.90
72.05, -13.68
72.10, -18.82
72.15, -9.53
72.20, -4.94
72.25, -19.52
72.30, -16.90
72.35, -11.35
72.40, -3.25
72.45, -8.26
72.50, -13.34
72.55, -12.05
72.60, -14.59
72.65, -8.06
72.70, -8.49
72.75, -13.18
72.80, -19.42
72.85, -6.23
72.90, -9.56
72.95, -37.00
73.00, -16.70
73.05, -15.52
73.10, -8.18
73.15, -12.56
73.20, -18.20
73.25, -12.13
73.30, -9.33
73.35, -17.08
73.40, -8.62
73.45, -20.89
73.50, -13.07
73.55, -10.56
73.60, -18.98
73.65, -9.82
73.70, -17.11
73.75, -11.00
73.80, -9.99
73.85, -6.68
73.90, -6.07
73.95, -12.21
74.00, -6.76
74.05, -10.36
74.10, -14.72
74.15, -11.82
74.20, -11.57
74.25, -18.01
74.30, -15.15
74.35, -9.80
74.40, -9.37
74.45, -3.27
74.50, -0.43
74.55, -7.41
74.60, -11.00
74.65, -12.82
74.70, -5.17
74.75, -12.97
74.80, -14.37
74.85, -5.83
74.90, -6.27
74.95, -14.43
75.00, -21.37
75.05, -6.61
75.10, -10.40
75.15, -13.98
75.20, -9.75
75.25, -12.66
75.30, -6.63
75.35, -10.02
75.40, -24.73
75.45, -9.68
75.50, -7.67
75.55, -8.44
75.60, -9.71
75.65, -13.11
75.70, -12.74
75.75, -5.16
75.80, -6.85
75.85, -1.26
75.90, -5.37
75.95, -7.38
76.00, -14.34
76.05, -10.98
76.10, 0.08
76.15, -2.09
76.20, -4.27
76.25, -5.86
76.30, -17.41
76.35, -9.19
76.40, -2.67
76.45, -11.77
76.50, -4.09
76.55, -2.02
76.60, -5.57
76.65, -0.14
76.70, -8.15
76.75, -9.12
76.80, -10.06
76.85, -2.69
76.90, -10.58
76.95, -8.16
77.00, -12.18
77.05, -10.79
77.10, -6.79
77.15, -16.96
77.20, -11.05
77.25, -30.85
77.30, -8.14
77.35, -10.66
77.40, -10.75
77.45, -4.83
77.50, -10.25
77.55, -8.87
